Employment_est,GEO_ID,NAME
1846,1400000US36047003500,"Census Tract 35, Kings County, New York"
2976,1400000US36047003600,"Census Tract 36, Kings County, New York"
2270,1400000US36047003700,"Census Tract 37, Kings County, New York"
1056,1400000US36047003800,"Census Tract 38, Kings County, New York"
1754,1400000US36047003900,"Census Tract 39, Kings County, New York"
2886,1400000US36047004100,"Census Tract 41, Kings County, New York"
3139,1400000US36047004300,"Census Tract 43, Kings County, New York"
1982,1400000US36047004400,"Census Tract 44, Kings County, New York"
2798,1400000US36047004500,"Census Tract 45, Kings County, New York"
1000,1400000US36047004600,"Census Tract 46, Kings County, New York"
1254,1400000US36047004700,"Census Tract 47, Kings County, New York"
2191,1400000US36047004900,"Census Tract 49, Kings County, New York"
1837,1400000US36047005000,"Census Tract 50, Kings County, New York"
2025,1400000US36047005100,"Census Tract 51, Kings County, New York"
1429,1400000US36047005201,"Census Tract 52.01, Kings County, New York"
2232,1400000US36047005202,"Census Tract 52.02, Kings County, New York"
1815,1400000US36047005301,"Census Tract 53.01, Kings County, New York"
54,1400000US36047005302,"Census Tract 53.02, Kings County, New York"
0,1400000US36047005303,"Census Tract 53.03, Kings County, New York"
2884,1400000US36047005400,"Census Tract 54, Kings County, New York"
2126,1400000US36047005601,"Census Tract 56.01, Kings County, New York"
1554,1400000US36047005602,"Census Tract 56.02, Kings County, New York"
2668,1400000US36047005800,"Census Tract 58, Kings County, New York"
1025,1400000US36047005900,"Census Tract 59, Kings County, New York"
2409,1400000US36047006000,"Census Tract 60, Kings County, New York"
2177,1400000US36047006200,"Census Tract 62, Kings County, New York"
1658,1400000US36047006300,"Census Tract 63, Kings County, New York"
2535,1400000US36047006400,"Census Tract 64, Kings County, New York"
4503,1400000US36047006500,"Census Tract 65, Kings County, New York"
3171,1400000US36047006600,"Census Tract 66, Kings County, New York"
2888,1400000US36047006700,"Census Tract 67, Kings County, New York"
3757,1400000US36047006800,"Census Tract 68, Kings County, New York"
1441,1400000US36047006901,"Census Tract 69.01, Kings County, New York"
1800,1400000US36047006902,"Census Tract 69.02, Kings County, New York"
2109,1400000US36047007000,"Census Tract 70, Kings County, New York"
3192,1400000US36047007100,"Census Tract 71, Kings County, New York"
1349,1400000US36047007200,"Census Tract 72, Kings County, New York"
3807,1400000US36047007400,"Census Tract 74, Kings County, New York"
3894,1400000US36047007500,"Census Tract 75, Kings County, New York"
4140,1400000US36047007600,"Census Tract 76, Kings County, New York"
4042,1400000US36047007700,"Census Tract 77, Kings County, New York"
3790,1400000US36047007800,"Census Tract 78, Kings County, New York"
2899,1400000US36047008000,"Census Tract 80, Kings County, New York"
2883,1400000US36047008200,"Census Tract 82, Kings County, New York"
2899,1400000US36047008400,"Census Tract 84, Kings County, New York"
5753,1400000US36047008500,"Census Tract 85, Kings County, New York"
0,1400000US36047008600,"Census Tract 86, Kings County, New York"
1992,1400000US36047008800,"Census Tract 88, Kings County, New York"
1134,1400000US36047009001,"Census Tract 90.01, Kings County, New York"
955,1400000US36047009002,"Census Tract 90.02, Kings County, New York"
1423,1400000US36047009201,"Census Tract 92.01, Kings County, New York"
2615,1400000US36047009202,"Census Tract 92.02, Kings County, New York"
1505,1400000US36047009401,"Census Tract 94.01, Kings County, New York"
2183,1400000US36047009402,"Census Tract 94.02, Kings County, New York"
4855,1400000US36047009600,"Census Tract 96, Kings County, New York"
4455,1400000US36047009800,"Census Tract 98, Kings County, New York"
